customerID,Churn,account.Contract,account.PaymentMethod,internet.InternetService,customer.tenure,account.MonthlyCharges,account.TotalCharges,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,phone.PhoneService,phone.MultipleLines,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.PaperlessBilling
0129-QMPDR,No,One year,Bank transfer (automatic),No,44,20.5,865.05,Male,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0130-SXOUN,No,Month-to-month,Credit card (automatic),Fiber optic,66,89.4,5976.9,Male,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No
0133-BMFZO,Yes,Month-to-month,Electronic check,Fiber optic,2,86.25,181.65,Female,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes
0134-XWXCE,No,One year,Bank transfer (automatic),DSL,44,74.85,3268.05,Female,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No
0135-NMXAP,Yes,Month-to-month,Bank transfer (automatic),Fiber optic,12,89.75,1052.4,Female,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes
0136-IFMYD,No,Two year,Electronic check,Fiber optic,69,109.95,7634.25,Male,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0137-OCGAB,Yes,Month-to-month,Mailed check,Fiber optic,1,80.2,80.2,Female,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes
0137-UDEUO,Yes,Month-to-month,Mailed check,No,3,19.85,63.75,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0139-IVFJG,No,Month-to-month,Electronic check,Fiber optic,2,90.35,190.5,Female,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No
0141-YEAYS,No,Month-to-month,Bank transfer (automatic),Fiber optic,27,86.45,2401.05,Female,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes
0142-GVYSN,No,Month-to-month,Electronic check,No,26,20.3,511.25,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0147-ESWWR,No,Month-to-month,Electronic check,Fiber optic,39,101.25,3949.15,Female,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
0148-DCDOS,Yes,Month-to-month,Bank transfer (automatic),Fiber optic,25,94.7,2362.1,Male,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
0151-ONTOV,Yes,Month-to-month,Mailed check,Fiber optic,1,70.9,70.9,Female,No,No,No,Yes,No,No,No,No,No,No,No,No
0154-QYHJU,,One year,Electronic check,DSL,29,58.75,1696.2,Male,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes
0156-FVPTA,Yes,Month-to-month,Electronic check,DSL,22,54.2,1152.7,Male,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes
0162-RZGMZ,,Month-to-month,Credit card (automatic),DSL,5,59.9,287.85,Female,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
0164-APGRB,No,Two year,Electronic check,Fiber optic,72,114.9,8496.7,Female,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0164-XAIRP,No,Two year,Bank transfer (automatic),No,24,19.55,470.2,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0168-XZKBB,No,Month-to-month,Electronic check,Fiber optic,19,86.85,1564.4,Female,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes
0174-QRVVY,No,Two year,Credit card (automatic),No,71,25.35,1847.55,Male,No,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0177-PXBAT,No,Month-to-month,Bank transfer (automatic),Fiber optic,33,109.9,3694.7,Male,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
0178-CIIKR,No,Month-to-month,Mailed check,No,3,19.95,58.0,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0178-SZBHO,No,Month-to-month,Electronic check,Fiber optic,47,87.2,4017.45,Male,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
0181-RITDD,No,Two year,Mailed check,Fiber optic,62,108.15,6825.65,Male,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
0186-CAERR,No,One year,Bank transfer (automatic),Fiber optic,71,116.3,8309.55,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0187-QSXOE,No,Month-to-month,Electronic check,Fiber optic,7,89.0,605.45,Male,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes
0187-WZNAB,No,Month-to-month,Mailed check,Fiber optic,27,74.4,1972.35,Female,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
0188-GWFLE,No,Month-to-month,Mailed check,No,2,20.05,33.7,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0191-EQUUH,No,Two year,Bank transfer (automatic),DSL,25,35.05,844.45,Female,No,No,Yes,No,No phone service,Yes,No,No,Yes,No,No,No
0191-ZHSKZ,No,Month-to-month,Electronic check,DSL,30,74.75,2111.3,Male,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
0193-ESZXP,Yes,One year,Credit card (automatic),Fiber optic,58,105.5,6205.5,Female,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0195-IESCP,Yes,Month-to-month,Electronic check,Fiber optic,10,85.25,855.3,Male,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes
0196-JTUQI,No,Month-to-month,Credit card (automatic),Fiber optic,9,75.2,633.85,Female,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
0196-VULGZ,Yes,Month-to-month,Electronic check,Fiber optic,6,84.35,474.9,Female,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes
0197-PNKNK,No,One year,Bank transfer (automatic),Fiber optic,69,84.45,5848.6,Female,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
0201-MIBOL,No,Two year,Bank transfer (automatic),Fiber optic,66,102.4,6471.85,Female,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
0201-OAMXR,Yes,One year,Credit card (automatic),Fiber optic,70,115.55,8127.6,Female,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
0203-HHYIJ,Yes,One year,Bank transfer (automatic),No,25,25.3,676.35,Male,No,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0206-OYVOC,No,Two year,Mailed check,No,46,19.25,864.2,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0206-TBWLC,No,One year,Mailed check,Fiber optic,54,114.65,6049.5,Female,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0207-MDKNV,Yes,Month-to-month,Electronic check,Fiber optic,15,105.1,1582.75,Female,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
0208-BPQEJ,No,Month-to-month,Bank transfer (automatic),No,12,19.4,198.1,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0212-ISBBF,No,Month-to-month,Electronic check,DSL,22,50.35,1098.85,Female,No,No,No,No,No phone service,No,Yes,No,No,Yes,Yes,Yes
0214-JHPFW,No,Two year,Bank transfer (automatic),DSL,70,57.8,4039.3,Female,No,Yes,No,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No
0215-BQKGS,No,Month-to-month,Credit card (automatic),Fiber optic,30,84.3,2438.6,Male,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
0218-QNVAS,No,One year,Bank transfer (automatic),Fiber optic,71,100.55,7113.75,Male,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No
0219-QAERP,No,One year,Credit card (automatic),No,30,19.8,576.65,Male,No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0219-YTZUE,Yes,Month-to-month,Bank transfer (automatic),Fiber optic,4,84.8,371.9,Male,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes
0220-EBGCE,Yes,Month-to-month,Electronic check,Fiber optic,2,85.85,167.3,Male,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes
0221-NAUXK,No,One year,Bank transfer (automatic),No,10,19.95,219.5,Male,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0221-WMXNQ,No,Month-to-month,Electronic check,Fiber optic,4,75.35,273.4,Male,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
0222-CNVPT,No,Month-to-month,Credit card (automatic),DSL,52,48.8,2555.05,Male,Yes,No,No,No,No phone service,Yes,No,No,No,Yes,Yes,Yes
0224-HJAPT,Yes,Month-to-month,Electronic check,DSL,5,47.15,223.15,Male,No,No,No,Yes,Yes,No,No,No,No,No,No,No
0224-NIJLP,No,Two year,Mailed check,No,8,20.15,165.5,Male,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0224-RLWWD,No,Month-to-month,Electronic check,DSL,2,44.3,89.3,Female,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes
0225-ZORZP,No,Month-to-month,Electronic check,Fiber optic,3,84.3,235.05,Male,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No
0228-MAUWC,No,Month-to-month,Electronic check,DSL,19,59.55,1144.6,Male,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No
0229-LFJAF,No,Two year,Bank transfer (automatic),DSL,72,69.65,4908.25,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
0230-UBYPQ,No,One year,Bank transfer (automatic),DSL,63,36.1,2298.9,Male,Yes,Yes,No,No,No phone service,Yes,No,No,Yes,No,No,No
0230-WEQUW,No,Two year,Bank transfer (automatic),DSL,66,56.6,3789.2,Male,No,Yes,No,No,No phone service,Yes,Yes,Yes,Yes,Yes,No,Yes
0231-LXVAP,Yes,Month-to-month,Electronic check,Fiber optic,1,75.9,75.9,Male,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes
0233-FTHAV,No,One year,Bank transfer (automatic),Fiber optic,60,79.2,4765.0,Female,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes
0234-TEVTT,No,One year,Credit card (automatic),DSL,48,45.0,2196.3,Female,No,Yes,Yes,No,No phone service,Yes,No,Yes,No,No,Yes,No
0235-KGSLC,Yes,Month-to-month,Credit card (automatic),Fiber optic,1,85.55,85.55,Female,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes
0236-HFWSV,Yes,Month-to-month,Electronic check,Fiber optic,15,93.35,1444.65,Male,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
0237-YFUTL,No,Month-to-month,Bank transfer (automatic),Fiber optic,50,109.65,5405.8,Female,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
0238-WHBIQ,No,Two year,Credit card (automatic),DSL,72,89.7,6339.3,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
0239-OXEXL,No,Month-to-month,Mailed check,Fiber optic,46,84.25,3847.6,Female,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
0244-LGNFY,No,Two year,Bank transfer (automatic),DSL,72,92.65,6733.0,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
0247-SLUJI,No,Month-to-month,Mailed check,No,1,19.7,19.7,Male,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0248-IPDFW,No,Month-to-month,Electronic check,DSL,1,50.1,50.1,Female,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
0248-PGHBZ,No,Two year,Bank transfer (automatic),Fiber optic,67,92.45,6140.85,Female,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
0253-ZTEOB,No,Two year,Electronic check,DSL,48,79.65,3870.3,Female,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
0254-FNMCI,No,Two year,Electronic check,Fiber optic,72,109.9,7624.2,Female,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0254-KCJGT,No,One year,Credit card (automatic),DSL,52,81.4,4354.45,Male,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
0254-WWRKD,No,One year,Credit card (automatic),DSL,67,50.55,3431.75,Female,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
0256-LTHVJ,Yes,Month-to-month,Electronic check,Fiber optic,28,81.05,2227.1,Female,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes
0257-KXZGU,No,Month-to-month,Bank transfer (automatic),DSL,32,62.45,2045.55,Female,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
0257-ZESQC,Yes,Month-to-month,Bank transfer (automatic),Fiber optic,27,75.2,1929.35,Female,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes
0258-NOKBL,No,Month-to-month,Electronic check,Fiber optic,3,90.4,268.45,Male,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No
0259-GBZSH,Yes,Month-to-month,Electronic check,Fiber optic,2,85.65,181.5,Male,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes
0260-ZDLGK,Yes,Month-to-month,Mailed check,DSL,9,72.9,651.4,Female,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
0263-FJTQO,No,Two year,Credit card (automatic),DSL,50,70.5,3486.65,Male,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
